Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,BBKP,515.2835083007812,522.3422241210938,511.7541809082031,515.2835083007812,16953173
2014-10-21,BBKP,525.8715209960938,525.8715209960938,511.7541809082031,525.8715209960938,9633673
2014-10-22,BBKP,525.8715209960938,529.40087890625,525.8715209960938,525.8715209960938,4531584
2014-10-23,BBKP,529.40087890625,529.40087890625,525.8715209960938,529.40087890625,4609786
2014-10-24,BBKP,536.4595336914062,536.4595336914062,525.8715209960938,536.4595336914062,13780341
2014-10-27,BBKP,536.4595336914062,539.9888916015625,532.9302368164062,536.4595336914062,2432891
2014-10-28,BBKP,529.40087890625,536.4595336914062,525.8715209960938,529.40087890625,10469240
2014-10-29,BBKP,532.9302368164062,532.9302368164062,525.8715209960938,532.9302368164062,3011186
2014-10-30,BBKP,529.40087890625,529.40087890625,525.8715209960938,529.40087890625,7363418
2014-10-31,BBKP,532.9302368164062,532.9302368164062,525.8715209960938,532.9302368164062,5746826
2014-11-03,BBKP,536.4595336914062,536.4595336914062,529.40087890625,536.4595336914062,2424533
2014-11-04,BBKP,532.9302368164062,536.4595336914062,529.40087890625,532.9302368164062,3147473
2014-11-05,BBKP,532.9302368164062,532.9302368164062,529.40087890625,532.9302368164062,986445
2014-11-06,BBKP,543.5182495117188,543.5182495117188,532.9302368164062,543.5182495117188,14545499
2014-11-07,BBKP,543.5182495117188,547.0475463867188,536.4595336914062,543.5182495117188,5289517
2014-11-10,BBKP,536.4595336914062,543.5182495117188,532.9302368164062,536.4595336914062,3702817
2014-11-11,BBKP,536.4595336914062,539.9888916015625,532.9302368164062,536.4595336914062,2443233
2014-11-12,BBKP,532.9302368164062,536.4595336914062,529.40087890625,532.9302368164062,6516659
2014-11-13,BBKP,532.9302368164062,536.4595336914062,525.8715209960938,532.9302368164062,1993432
2014-11-14,BBKP,532.9302368164062,532.9302368164062,529.40087890625,532.9302368164062,1874571
2014-11-17,BBKP,532.9302368164062,532.9302368164062,529.40087890625,532.9302368164062,2395915
2014-11-18,BBKP,536.4595336914062,536.4595336914062,525.8715209960938,536.4595336914062,9753525
2014-11-19,BBKP,532.9302368164062,543.5182495117188,525.8715209960938,532.9302368164062,12692036
2014-11-20,BBKP,532.9302368164062,536.4595336914062,529.40087890625,532.9302368164062,18539164
