,Date,Ticker,Open,High,Low,Close,Volume
0,2022-12-21,MCAS,7750.0,8225.0,7600.0,8100.0,273100
0,2022-12-21,MEDC,1075.0,1105.0,1070.0,1080.0,27659400
0,2022-12-21,META,123.0,131.0,123.0,126.0,68764600
0,2022-12-21,MKPI,19900.0,19900.0,18200.0,18200.0,17200
0,2022-12-21,MLBI,8650.0,8650.0,8575.0,8575.0,268400
0,2022-12-21,MLIA,560.0,560.0,540.0,545.0,10820100
0,2022-12-21,MLPL,115.0,117.0,113.0,113.0,10543400
0,2022-12-21,MLPT,2070.0,2070.0,2030.0,2060.0,12100
0,2022-12-21,MMLP,470.0,470.0,446.0,458.0,3268200
0,2022-12-21,MPOW,88.0,94.0,88.0,91.0,4351600
0,2022-12-21,MPPA,142.0,145.0,140.0,141.0,37039100
0,2022-12-21,MSIN,4780.0,4790.0,4690.0,4780.0,1148100
0,2022-12-21,MTDL,530.0,550.0,525.0,550.0,2154400
0,2022-12-21,MYOR,2500.0,2520.0,2440.0,2500.0,6257500
0,2022-12-21,NOBU,570.0,570.0,550.0,555.0,432700
0,2022-12-21,OKAS,121.0,121.0,112.0,113.0,8157500
0,2022-12-21,PBID,1570.0,1590.0,1560.0,1560.0,545900
0,2022-12-21,PBRX,109.0,116.0,107.0,109.0,50939700
0,2022-12-21,PNBS,64.0,64.0,61.0,63.0,36609100
0,2022-12-21,POLL,190.0,196.0,189.0,192.0,3227800
0,2022-12-21,PSKT,68.0,71.0,67.0,67.0,8838900
0,2022-12-21,PTPP,705.0,725.0,700.0,715.0,10467600
0,2022-12-21,PTPW,905.0,910.0,900.0,905.0,55100
0,2022-12-21,PTRO,4050.0,4050.0,4000.0,4000.0,100100
0,2022-12-21,PYFA,935.0,975.0,890.0,890.0,271700
0,2022-12-21,RAJA,955.0,975.0,945.0,945.0,29494600
0,2022-12-21,RALS,565.0,575.0,560.0,570.0,2336600
0,2022-12-21,RMKE,920.0,960.0,915.0,940.0,10594300
0,2022-12-21,SIDO,755.0,765.0,755.0,765.0,12400500
0,2022-12-21,SIMP,416.0,420.0,416.0,418.0,301900
0,2022-12-21,SLIS,284.0,300.0,268.0,300.0,171701500
0,2022-12-21,SMCB,1460.0,1460.0,1445.0,1445.0,1404500
0,2022-12-21,SMSM,1420.0,1510.0,1415.0,1495.0,3870800
0,2022-12-21,SQMI,67.0,69.0,65.0,66.0,5462600
0,2022-12-21,SRTG,2730.0,2730.0,2680.0,2690.0,10265500
0,2022-12-21,TAPG,645.0,650.0,635.0,645.0,4137600
0,2022-12-21,TCPI,8425.0,8625.0,8400.0,8625.0,16924300
0,2022-12-21,TECH,4090.0,4090.0,3860.0,3970.0,4407500
0,2022-12-21,TINS,1160.0,1170.0,1160.0,1160.0,4988400
0,2022-12-21,TMAS,1985.0,2000.0,1960.0,1995.0,867800
0,2022-12-21,TNCA,332.0,332.0,310.0,316.0,687500
0,2022-12-21,TOWR,1075.0,1080.0,1065.0,1070.0,35756400
0,2022-12-21,TOYS,69.0,70.0,68.0,69.0,3501900
0,2022-12-21,TRIS,186.0,212.0,182.0,210.0,9579600
0,2022-12-21,TRJA,226.0,232.0,226.0,232.0,24499800
0,2022-12-21,UFOE,246.0,248.0,240.0,244.0,15395400
0,2022-12-21,UNSP,138.0,139.0,132.0,136.0,899800
0,2022-12-21,UNVR,4770.0,4790.0,4740.0,4780.0,5975300
0,2022-12-21,VOKS,143.0,143.0,141.0,141.0,1900
0,2022-12-21,WEHA,110.0,113.0,109.0,111.0,5725300
0,2022-12-21,WOOD,360.0,380.0,360.0,370.0,2342300
0,2022-12-21,WSKT,358.0,364.0,356.0,360.0,5481500
0,2022-12-21,YELO,76.0,83.0,71.0,71.0,338736200
0,2022-12-21,ZYRX,384.0,386.0,380.0,380.0,168700
